Agile
Agile Methodology
BDD
DDD
Design-Driven Development
FDD
ICONIX
InnerSource
Kanban
Lean Software Development
OVM
Pair programming
Prince2
RAD
RUP
Scrum
TDD
UVM
V-Model
Waterfall
XP
Extreme programming
