3D Touch
Accelerate framework
ActionBarSherlock
adb
ADT
AFNetworking
Alamofire
AndEngine
Android
Android Auto
Android IDE
Android Jetpack
Android N
Android NDK
Android SDK
Android Studio
Android TV
Android Wear
Apache Flex
APNs
AppCode
AppCompat
ARC
ARKit
Auto Layout
AVFoundation
Bitrise
BLoC Pattern
Bond
ButterKnife
Carthage
Clean Architecture (VIPER)
Cocoa
Cocoa Touch
CocoaPods
Conductor
Cordova
Core Animation
Core Bluetooth
Core Data
Core Graphics
Core Location
CoreData
CoreFoundation
CoreGraphics
CoreImage
CoreLocation
Dagger
DBFlow
Dojo Mobile
Espresso
EventKit
Evernote
Fabric
FastLane
Firebase
Flurry
Flutter
Fresco
GCD
GHUnit
Glide
Gradle 
greenDAO
gtest
HockeyApp
Ionic
Ionic Creator
iOS
iOS 10 Speech Recognition API
iOS SDK
jQuery Mobile
LeakCanary
Logcat
Lottie
MapKit
Marmalade
Memory Graph Debugger
MessageUI
Metal
MLKit
Mortar
Mosby
Moya framework
Multitasking
Nimble
NSOperation
Objective-C
PhoneGap
Picasso
POP
Property Lists
Quick
QuickBlox
Reactive code
Reactive pattern
ReactiveCocoa
ReactiveKit
Realm
RecyclerView
RoboSpice
Robotium
Room library
RxAndroid
RxJava
RxSwift
Sencha
Sencha Touch
SpongyCastle
Stack Views
StoreKit
Storyboard
Support Library
Swift
SwiftyJSON
Swinject
TestFlight
Titanium
tvOS
Typhoon
UI Automator
UIKit
Volley
WatchKit
watchOS
Xamarin
Xamarin Studio
Xamarin.Forms
Xcode
XCTest
