A/B testing
Ab Initio
Ad-Hoc Distribution
Appium
Arquillian
AutoIt
Automation Testing
Baseline testing
Bazel
Behat
Black-box testing
BlazeMete
BlazeMeter
Bug tracking
Calabash
CasperJS
Chai
Charles
Codacy
Controller
Cross-browser testing
Cucumber
DbUnit
Defect tracking
Dynamic analysis
E2E Testing
EasyMock
Endurance Testing
Enzyme
FitNesse
Functional testing
Galen Framework
Gatling
Gherkin
Gray-box testing
HP Performance Center
HP Quality Center
IBM RPT
Integration testing
Iperf
Jasmine
JBehave
Jest
JMeter
Jtest
Kali Linux
Karma
Load testing
LoadRunner
LoadUI
Manual testing
Microsoft Test Manager
Mobile application testing
Mocha
Mockito
Monkey testing
Negative testing
NeoLoad
Nightwatch.js
Nodeunit
Nose
Okapi Framework
Penetration testing
Performance testing
PhantomJS
PHPUnit
Protractor
Pytest
QC
qTest
QTP
QuickCheck
QUnit
Ranorex
Regression testing
ReportNG
Robolectric
Sanity testing
Scenario testing
Security testing
Selenium
Siege
Sinon
Smoke Testing
SoapUI
SpiraTest
Spock
Static analysis
STLC
Stress testing
Sumo Logic
Surefire
System Testing
Telerik Test Studio
Test case
Test Planning
Test strategy
Testing
TestLink
TestNG
Tosca
UAT
UFT (Unified Functional Testing)
Unit testing
WAPT
WatiN
WebDriver
Website testing
White-box testing
Xamarin.UITest
XCUITest
Zombie



















