.NET
.NET Core
Accord.NET Framework
ACE
Active Record
ActiveMQ
ADF
ADO.NET
Apache Ant
Apache Camel
Apache MINA
APC
Apollo
asm.js
ASP.NET
ASP.NET AJAX
ASP.NET Core
ASP.NET MVC
ASP.NET Web API
ASP.NET Web Forms
asyncio
Autofac
AutoMapper
BeeWare
Bitrix
Blackfire
Bokeh
Boost
Bottle
Brakeman
Buildbot
Bundler
Burp Suite
C#
C++
Cactus
CAFFE
CakePHP
Capistrano
Capybara
CDI
Chart FX
CherryPy
Clang
ClearTK
CLion
CLR
Codeception
CodeIgniter
Composer
Core Java
Cppcheck
CppDB
CPython
Crystal
Cucumber
Cycle.js
Dask
Deno
Derby
Django
Django Channels
Django REST framework
Doctrine
Docutils
Dropwizard
Drupal
Drush
DWR
EasyMock
EclipseLink
Ehcache
EJB
Entity Framework
ERB
EventMachine
Express.js
F#
Facelets
FactoryBot
FeathersJS
Flask
Flow
FreeMarker
Gearman
GemFire
GlassFish
GLSL
Google Guice
gperf
Gradle
Grails
Grape
Groovy
GStreamer
Guava
Guzzle
GWT
Hapi
HHVM
Hibernate
Hybris
IdentityServer
IntelliJ IDEA
JAAS
Jackson
JADE
JAF
JasperReports
Java
Java EE
Java ME
Java Profiler
Java SE
JavaCC
JavaFX
JavaScript
JAXB
JAX-RS
JAX-WS
JBDC
JBoss
jBPM
JDBC
Jdeferred
Jdeveloper
JDK
Jekyll
Jersey
Jetty
Jflex
JFR
Jinja2
JMC
JMM
Jmock
JMS
JMX
JNI
JPA
JPQL
JRE
Jruby
JSF
Jsoup
JSP
JSTL
jUnit
Jupyter
JVM
Kentico
KeyStore
Kivy
Koa
Kohana
Lambda
LAMP
Laravel
Launch4j
LINQ
Linq2SQL
Log4j
Log4net
Loki
Lucene
Lumen
Magento
MAMP
matplotlib
Maven
MEAN
Memcached
MeshCMS
Meteor
MFC
Micronaut
Minitest
Mockery
Mockito
MODX
Mono
Moq
MS Dynamics 365
MsBuild
MStest
Nancy
NestJS
Netty
Next.js
Nhibernate
Ninject
Node.js
NuGet
nUnit
NW.js
OC4J
Octopus
OpenCL
OpenCV
OpenGL Mathematics
OpenInventor
OpenLayers
OpenNLP
Oracle JET
OSGi
OWIN
P/Invoke
Padrino
Passenger
Phoenix
PHP
PHP CodeSniffer
Pipenv
Play
POCO
PowerMock
PrimeFaces
ProGuard
Puppeteer
PwC
PyBrain
PyCharm
PyGTK
Pylons
Pyparsing
Pyramid
Pyston
Python
QT
Rake
Razor
Reactor
ReSharper
Resin
Resque
RESTEasy
Restify
RichFaces
RoboGuice
Roslyn
Rspec
RuboCop
Ruby
Ruby Arrays
Ruby on Rails
RubyGems
RVM
Sails.js
Scapy
SciPy
Scrapy
Seaborn
Seam
Seneca
ServiceStack
Servlets
Sidekiq
SignalR
Sinatra
Sitecore CMS
SLF4J
SpecFlow
Spring
Spring Boot
Spring Integration
Spring MVC
Spring WebFlux
SQLAlchemy
SSRS
StatsModels
Stencil.js
STL
Struts
Struts 2
STS
StyleCop
Swing
SymPy
Telerik DevCraft
TestNG
Theano
Thymeleaf
Tomcat
TomEE
Tornado
TortoiseSVN
Twisted
UIMA
Vaadin
VB.Net
Virtualenv
Visual C#
Watir
WCF
web.py
web2py
WebLogic
WebMatrix
WEBrick
Wicket
WildFly
WPF
wxPython
wxWidgets
xUnit.net
ZK
Zxing
Qt Creator
RapidJSON
Rust
Socket programming
STL
Template metaprogramming
Valgrind
VBA
Visual C++
Visual Studio
ZeroMQ
ANSI C
C
CUDA
Libmicrohttpd
Kore
Monix
Akka
Akka HTTP
Apache Kafka
BlueEyes
Cats
Chaos
Colossus
Finatra
Finch
http4s
Lift
Lift 3.0-RC1
Play
Play 2.5.0
sbt
SBT 0.13.12
Scala
Lift
Akka
Play
Scalaz
Slick
Shapeless
Spray
Scalatra
Scalding
Beego
Buffalo
Echo
Gin
Go
GoLand
Gorilla
Iris
Revel
